Comment;Description;Designator;Footprint;LibRef;Quantity
GRM155R61E105KA12D;Capacitor;C1, C2, C4, C5, C7, C8, C9, C10, C11, C12, C25;CAPC1005X55N;CMP-001-00126-1;11
GRM155C61E475ME15J;Capacitor;C3, C6;GRM15x;CMP-001-00127-1;2
AMK105CBJ106MV-F;Multilayer Ceramic Capacitors MLCC - SMD/SMT 4V 10uF X5R 0402 20 %;C13, C14;CAPC1005X70N;Generic capacitor;2
GRM155C81C474KE01D;Multilayer Ceramic Capacitors MLCC - SMD/SMT;C15, C16;CAPC1005X70N;CMP-001-00140-1;2
C0402C101KCGACAUTO;Multilayer Ceramic Capacitors MLCC - SMD/SMT 500V 0.0001uF C0G 0402 10% AEC-Q200;C17;CAPC1005X70N;Generic capacitor;1
C0402C101KCMBASJ105SB7474KFNA01GACAUTO;Multilayer Ceramic Capacitors MLCC - SMD/SMT 500V 0.0001uF C0G 0402 10% AEC-Q200;C18;CAPC1005X70N;Generic capacitor;1
MLAST105SB5104KFNA01;Multilayer Ceramic Capacitors MLCC - SMD/SMT 6.3V 4.7uF X5R 0402 20% Medical, Multilayer Ceramic Capacitors MLCC - SMD/SMT 25V 0.1uF X5R 0402 10% Medical;C19, C20, C21, C22, C24;CAPC1005X70N;Generic capacitor;5
VJ0402Y103KXJAC31X;Multilayer Ceramic Capacitors MLCC - SMD/SMT 0402 10nF 16volts X7R 10%;C23;CAPC1005X70N;Generic capacitor;1
NSR05F30NXT5G;Schottky Diode;D1, D2, D3;NSR05F30NXT5G;CMP-004-00034-1;3
RBE01VYM6AFHTR;DIODE SCHOTTKY 6V 100MA TUMD2M;D4;RBE01VYM6AFHTR;CMP-004-00062-1;1
BAS16LD,315;DIODE GP 100V 215MA SOD882D;D5;FP-SOD882D-MFG;CMP-14399-000004-1;1
MAX17220ENT+T;MAXIM INTEGRATED PRODUCTS - MAX17220ENT+T - DC-DC Switching Step Up Regulator;IC1;BGA6C40P3X2_142X89X50;CMP-031-00089-1;1
NTP53321G0JHKZ;Interface - Specialized NTAG;IC2;NTP53321G0JHKZ;CMP-031-00011-1;1
TPS22916CYFPR;TPS22916 5.5-V;IC3;BGA4C40P2X2_78X78X50;CMP-031-00019-1;1
MAX31334EWC+T;Ultra-Low-Power Real Time Clock with Integrated Power Switch;IC4;BGA12C50P4X3_197X147X69;CMP-031-00017-1;1
SRP0408F-100M;Inductor-BOURNS;L1;INDPM4341X80N;CMP-006-00031-1;1
74479774222;Inductor-WE;L2;WE-PMI_080562;CMP-006-00060-1;1
150060RS55040;RED Standard LEDs - SMD WL-SMCD SMD MonoChip 0603 Red 632nm;LED1;150060RS55040;CMP-007-00073-1;1
150060VS55040;Green LED;LED2;LEDM168X50N;CMP-007-00074-1;1
FPC24(0.5MM);No Description Available;P1;FPC24 (0.5mm);FPC24(0.5MM);1
FTDI;Header, 6-Pin;P2;HDR1X6;CMP-002-00359-1;1
Header 3;Header, 3-Pin;P3;HDR1X3;CMP-002-00163-1;1
Header 2;Header, 2-Pin;P4, P5, P6, P7, P8, P9;HDR1X2;CMP-002-00143-1;6
CSD17381F4;MOSFET (N-Channel);Q1;CSD17381F4;CMP-102-000001-1;1
CRCW040210K0FKEDHP;CRCW Power Resistor 0402 0.063W 10K Vishay CRCW Series Thick Film Power Resistor 0402 Case 10k +/-1% 0.125W +/-100ppm/K;R1;RESC1005X40N;CMP-009-00221-1;1
ERJ-U6QJR47V;Thick Film Resistors - SMD 0805 0.25W 5% .47ohms AEC-Q200;R2;RESC2012X65N;CMP-009-00220-1;1
CRT0402-BY-80R6GLF;Thin Film Resistors 1/16watts 80.6 ohm 0.10%;R3, R17;RESC1005X40N;Generic resistor;2
CRCW04024K70FKEDHP;CRCW Power Resistor 0402 0.063W 4K7 Vishay CRCW Series Thick Film Power Resistor 0402 Case 4.7k +/-1% 0.125W +/-100ppm/K;R4, R5, R6, R10, R12;RESC1005X40N;CMP-009-00230-1;5
Generic component;[NoValue], Thick Film Resistors 1/16watt 10Kohms 1% Commercial Use;R7, R8, R9, R11, R13, R14;RESC1005X40N;Generic resistor;6
SFR01MZPJ470;Thick Film Resistors Sulfur Tolerant Chip Resistors 0402 case size;R15, R16;RESC1005X40N;Generic resistor;2
S-Power 2R;;SuperCap2, SuperCap3;S-Power 2R;CMP-111-000001-1;2
STM32L431CCU6;ARM Microcontrollers - MCU 16/32-BITS MICROS;U1;QFN50P700X700X60-49N-D;CMP-031-00018-1;1
WMRAG32K76CS2C00R0;32.768 kHz +/-20ppm Crystal 8pF 75 kOhms 4-SMD;X1, X2;WMRAG32K76CS2C00R0;CMP-003-00031-1;2
BZT52C2V7LP-7;Zener Diode 2.7 V 250 mW +/-7% Surface Mount DFN1006-2;Z1;BZT52C2V7LP7;CMP-004-00065-1;1
